"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","109","checkIncorrectCardPrices","Surefire suite","Thu May 08 09:49:24 GMT 2025","passed","Thu May 08 09:49:24 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardPrices"
"","1559","testSuccessfulPaymentClearCart","Surefire suite","Thu May 08 09:50:24 GMT 2025","passed","Thu May 08 09:50:25 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearCart"
"","98","checkIncorrectCardTitles","Surefire suite","Thu May 08 09:49:25 GMT 2025","passed","Thu May 08 09:49:25 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardTitles"
"","94","checkIncorrectCardTitles","Surefire suite","Thu May 08 09:49:24 GMT 2025","passed","Thu May 08 09:49:25 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardTitles"
"","40","checkCorrectCardTitles","Surefire suite","Thu May 08 09:49:21 GMT 2025","passed","Thu May 08 09:49:21 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"","133","checkFullComplianceCardIngredients","Surefire suite","Thu May 08 09:49:22 GMT 2025","passed","Thu May 08 09:49:22 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"","139","checkFullComplianceCardIngredients","Surefire suite","Thu May 08 09:49:21 GMT 2025","passed","Thu May 08 09:49:22 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"","161","checkIncorrectCardIngredients","Surefire suite","Thu May 08 09:49:23 GMT 2025","passed","Thu May 08 09:49:23 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardIngredients"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","3548","possibilityAddingMocha","Surefire suite","Thu May 08 09:49:45 GMT 2025","passed","Thu May 08 09:49:49 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"","1473","testSuccessfulPaymentClearCart","Surefire suite","Thu May 08 09:50:21 GMT 2025","passed","Thu May 08 09:50:22 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearCart"
"","120","checkCorrectCardPrices","Surefire suite","Thu May 08 09:49:20 GMT 2025","passed","Thu May 08 09:49:20 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"","1","testRecipeIngredientsOrder","Surefire suite","Thu May 08 09:49:34 GMT 2025","failed","Thu May 08 09:49:34 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","testRecipeIngredientsOrder"
"","117","checkCorrectCardPrices","Surefire suite","Thu May 08 09:49:21 GMT 2025","passed","Thu May 08 09:49:21 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"","463","testSuccessfulPaymentClearPrice","Surefire suite","Thu May 08 09:50:29 GMT 2025","failed","Thu May 08 09:50:29 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
