"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","checkFullComplianceCardIngredients","Surefire suite","Thu May 08 09:25:10 GMT 2025","skipped","Thu May 08 09:25:10 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"","1","testQuantities","Surefire suite","Thu May 08 09:25:10 GMT 2025","skipped","Thu May 08 09:25:10 GMT 2025","com.coffeecart.ui.TestAddCupsToCart","Surefire test","com.coffeecart.ui.TestAddCupsToCart","testQuantities"
"","0","testSuccessfulPaymentClearCart","Surefire suite","Thu May 08 09:25:10 GMT 2025","skipped","Thu May 08 09:25:10 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearCart"
"","0","firstTest","Surefire suite","Thu May 08 09:25:10 GMT 2025","skipped","Thu May 08 09:25:10 GMT 2025","com.coffeecart.ui.TestAddCupsToCart","Surefire test","com.coffeecart.ui.TestAddCupsToCart","firstTest"
"","0","checkCorrectCardPrices","Surefire suite","Thu May 08 09:25:10 GMT 2025","skipped","Thu May 08 09:25:10 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"","0","testRecipeOrder","Surefire suite","Thu May 08 09:25:10 GMT 2025","skipped","Thu May 08 09:25:10 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","testRecipeOrder"
"","0","testAddMultipleCupsToCart","Surefire suite","Thu May 08 09:25:10 GMT 2025","skipped","Thu May 08 09:25:10 GMT 2025","com.coffeecart.ui.TestAddCupsToCart","Surefire test","com.coffeecart.ui.TestAddCupsToCart","testAddMultipleCupsToCart"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","0","possibilityAddingMocha","Surefire suite","Thu May 08 09:25:10 GMT 2025","skipped","Thu May 08 09:25:10 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"","0","checkIncorrectCardPrices","Surefire suite","Thu May 08 09:25:10 GMT 2025","skipped","Thu May 08 09:25:10 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardPrices"
"","0","beforeClass","Surefire suite","Thu May 08 09:25:10 GMT 2025","broken","Thu May 08 09:25:10 GMT 2025","com.coffeecart.ui.TestName","Surefire test","com.coffeecart.ui.TestName","beforeClass"
"","0","checkCorrectCardTitles","Surefire suite","Thu May 08 09:25:10 GMT 2025","skipped","Thu May 08 09:25:10 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
