"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","23","","81","0","","0"
"1","","0","Pop-up 'Lucky Day'","8","0","","0"
"0","","0","Payment Form Validation","1","0","","0"
