"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","checkIncorrectCardTitles","Surefire suite","Thu May 08 09:11:34 GMT 2025","skipped","Thu May 08 09:11:34 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardTitles"
"","0","checkFullComplianceCardIngredients","Surefire suite","Thu May 08 09:11:34 GMT 2025","skipped","Thu May 08 09:11:34 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"","0","checkCorrectCardTitles","Surefire suite","Thu May 08 09:11:34 GMT 2025","skipped","Thu May 08 09:11:34 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"","1","testQuantities","Surefire suite","Thu May 08 09:11:34 GMT 2025","skipped","Thu May 08 09:11:34 GMT 2025","com.coffeecart.ui.TestName","Surefire test","com.coffeecart.ui.TestName","testQuantities"
"","0","VerifyEmail4","Surefire suite","Thu May 08 09:11:34 GMT 2025","skipped","Thu May 08 09:11:34 GMT 2025","com.coffeecart.ui.TestEmail","Surefire test","com.coffeecart.ui.TestEmail","VerifyEmail4"
"","1","checkIncorrectCardTitles","Surefire suite","Thu May 08 09:11:34 GMT 2025","skipped","Thu May 08 09:11:34 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardTitles"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","0","possibilityAddingMocha","Surefire suite","Thu May 08 09:11:34 GMT 2025","skipped","Thu May 08 09:11:34 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"","0","checkIncorrectCardIngredients","Surefire suite","Thu May 08 09:11:34 GMT 2025","skipped","Thu May 08 09:11:34 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardIngredients"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","0","possibilityAddingMocha","Surefire suite","Thu May 08 09:11:34 GMT 2025","skipped","Thu May 08 09:11:34 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"","0","checkIncorrectCardIngredients","Surefire suite","Thu May 08 09:11:34 GMT 2025","skipped","Thu May 08 09:11:34 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardIngredients"
"","1","testQuantities","Surefire suite","Thu May 08 09:11:34 GMT 2025","skipped","Thu May 08 09:11:34 GMT 2025","com.coffeecart.ui.TestAddCupsToCart","Surefire test","com.coffeecart.ui.TestAddCupsToCart","testQuantities"
