"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testQuantities","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.BaseTest","Surefire test","com.coffeecart.ui.BaseTest","testQuantities"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","0","possibilityAddingMocha","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"","0","testSuccessfulPaymentClearCart","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearCart"
"","0","testSuccessfulPaymentClearCart","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearCart"
"","0","checkCardsLength","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCardsLength"
"","0","checkCorrectCardTitles","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"","0","testRecipeIngredientsOrder","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.TestEmail","Surefire test","com.coffeecart.ui.TestEmail","testRecipeIngredientsOrder"
"","0","checkCorrectCardPrices","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"","1","checkFullComplianceCardIngredients","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"","0","checkIncorrectCardTitles","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardTitles"
"","1","checkCorrectCardPrices","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"","0","testRecipeOrder","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testRecipeOrder"
"","2","beforeSuite","Surefire suite","Thu May 08 09:16:27 GMT 2025","broken","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","Surefire test","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","beforeSuite"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","0","possibilityAddingMocha","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","Surefire test","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"","0","firstTest","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","Surefire test","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","firstTest"
"","1","testRecipeIngredientsOrder","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","Surefire test","com.coffeecart.ui.discardLuckyProposition.DiscardLuckyPropositionTest","testRecipeIngredientsOrder"
"","0","checkCorrectCardTitles","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"","1","testSuccessfulPaymentClearPrice","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","1","testSuccessfulPaymentClearPrice","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","Surefire test","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","1","testRecipeOrder","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.BaseTest","Surefire test","com.coffeecart.ui.BaseTest","testRecipeOrder"
"","1","checkIncorrectCardPrices","Surefire suite","Thu May 08 09:16:27 GMT 2025","skipped","Thu May 08 09:16:27 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","Surefire test","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectCardPrices"
