"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","","0","105","","0"
"0","","0","Pop-up 'Lucky Day'","0","9","","0"
"0","","0","Payment Form Validation","0","1","","0"
